id,start_time,runtime,plan_cpu,plan_mem,instance_num
M1,0,1,50.0,0.2,1.0
R2_1,0,2,100.0,0.49,9.0
M1,0,2,100.0,0.3,23.0
R3_2,0,2,100.0,0.39,1.0
R2_1,0,1,100.0,0.39,1.0
M1,0,1,100.0,0.3,2.0
R11_10,0,242,100.0,0.49,25.0
J24_3_6_9_10_11_14_22_23,0,12,100.0,0.59,687.0
R2_1,0,2,50.0,0.2,1.0
MergeTask,1,33,100.0,0.1,2.0
M1,1108,4,100.0,0.3,1.0
R6_5,1108,38,100.0,0.49,7.0
R4_3,1108,10,100.0,0.49,3.0
J3_1_2,1108,4,100.0,0.49,3.0
R2_1,1108,38,100.0,0.49,3.0
J5_2_4,1108,38,100.0,0.59,7.0
M1,4532,16,100.0,0.3,1.0
M1,4532,2,50.0,0.2,2.0
M11_10,4532,11,100.0,0.3,51.0
M11,4532,37,100.0,0.39,3528.0
M1,4532,11,50.0,0.2,49.0
R2_1,4532,321,50.0,0.2,1.0
