DCID,DSW,PSW,ASW,StartID,EndID
1,G6,P10,S1,0,7
1,G6,P10,S10,8,15
1,G6,P10,S11,16,23
1,G6,P10,S12,24,31
1,G6,P10,S13,32,39
1,G6,P10,S14,40,47
1,G6,P10,S15,48,55
1,G6,P10,S16,56,63
1,G6,P10,S17,64,71
1,G6,P10,S18,72,79
1,G6,P10,S19,80,87
1,G6,P10,S2,88,94
1,G6,P10,S20,95,101
1,G6,P10,S21,102,108
1,G6,P10,S22,109,116
1,G6,P10,S23,117,124
1,G6,P10,S24,125,131
1,G6,P10,S25,132,139
1,G6,P10,S26,140,147
1,G6,P10,S27,148,154
1,G6,P10,S28,155,159
1,G6,P10,S29,160,167
1,G6,P10,S3,168,175
1,G6,P10,S30,176,183
1,G6,P10,S31,184,191
1,G6,P10,S32,192,199
1,G6,P10,S33,200,205
1,G6,P10,S34,206,211
1,G6,P10,S35,212,218
1,G6,P10,S36,219,226
1,G6,P10,S37,227,232
1,G6,P10,S38,233,240
1,G6,P10,S39,241,248
1,G6,P10,S4,249,256
1,G6,P10,S40,257,264
1,G6,P10,S41,265,272
1,G6,P10,S42,273,280
1,G6,P10,S43,281,287
1,G6,P10,S44,288,290
1,G6,P10,S45,291,298
1,G6,P10,S46,299,305
1,G6,P10,S47,306,313
1,G6,P10,S48,314,321
1,G6,P10,S5,322,329
1,G6,P10,S6,330,337
1,G6,P10,S7,338,345
1,G6,P10,S8,346,353
1,G6,P10,S9,354,361
1,G6,P12,S1,362,368
1,G6,P12,S10,369,374
1,G6,P12,S11,375,381
1,G6,P12,S12,382,389
1,G6,P12,S13,390,397
1,G6,P12,S14,398,402
1,G6,P12,S15,403,410
1,G6,P12,S16,411,418
1,G6,P12,S17,419,426
1,G6,P12,S18,427,432
1,G6,P12,S19,433,440
1,G6,P12,S2,441,448
1,G6,P12,S20,449,456
1,G6,P12,S21,457,464
1,G6,P12,S22,465,472
1,G6,P12,S23,473,480
1,G6,P12,S24,481,487
1,G6,P12,S25,488,495
1,G6,P12,S26,496,503
1,G6,P12,S27,504,511
1,G6,P12,S28,512,519
1,G6,P12,S29,520,527
1,G6,P12,S3,528,535
1,G6,P12,S30,536,543
1,G6,P12,S31,544,551
1,G6,P12,S32,552,559
1,G6,P12,S33,560,561
1,G6,P12,S34,562,563
1,G6,P12,S35,564,570
1,G6,P12,S36,571,577
1,G6,P12,S37,578,585
1,G6,P12,S38,586,591
1,G6,P12,S39,592,598
1,G6,P12,S4,599,606
1,G6,P12,S40,607,613
1,G6,P12,S41,614,619
1,G6,P12,S42,620,627
1,G6,P12,S5,628,635
1,G6,P12,S6,636,643
1,G6,P12,S7,644,651
1,G6,P12,S8,652,659
1,G6,P12,S9,660,667
1,G6,P8,S1,668,675
1,G6,P8,S10,676,681
1,G6,P8,S11,682,688
1,G6,P8,S12,689,692
1,G6,P8,S13,693,699
1,G6,P8,S14,700,705
1,G6,P8,S15,706,711
1,G6,P8,S17,712,718
1,G6,P8,S18,719,726
1,G6,P8,S19,727,731
1,G6,P8,S2,732,739
1,G6,P8,S21,740,744
1,G6,P8,S22,745,748
1,G6,P8,S23,749,754
1,G6,P8,S26,755,762
1,G6,P8,S27,763,769
1,G6,P8,S28,770,774
1,G6,P8,S29,775,779
1,G6,P8,S3,780,785
1,G6,P8,S30,786,790
1,G6,P8,S31,791,796
1,G6,P8,S32,797,802
1,G6,P8,S33,803,804
1,G6,P8,S4,805,811
1,G6,P8,S5,812,817
1,G6,P8,S6,818,824
1,G6,P8,S7,825,832
1,G6,P8,S8,833,839
1,G6,P8,S9,840,846
