DCID,DSW,PSW,ASW,StartID,EndID
1,G6_1,P10_1,S1_1,0,7
1,G6_1,P10_1,S10_1,8,15
1,G6_1,P10_1,S11_1,16,23
1,G6_1,P10_1,S12_1,24,31
1,G6_1,P10_1,S13_1,32,39
1,G6_1,P10_1,S14_1,40,47
1,G6_1,P10_1,S15_1,48,55
1,G6_1,P10_1,S16_1,56,63
1,G6_1,P10_1,S17_1,64,71
1,G6_1,P10_1,S18_1,72,79
1,G6_1,P10_1,S19_1,80,87
1,G6_1,P10_1,S2_1,88,94
1,G6_1,P10_1,S20_1,95,101
1,G6_1,P10_1,S21_1,102,108
1,G6_1,P10_1,S22_1,109,116
1,G6_1,P10_1,S23_1,117,124
1,G6_1,P10_1,S24_1,125,131
1,G6_1,P10_1,S25_1,132,139
1,G6_1,P10_1,S26_1,140,147
1,G6_1,P10_1,S27_1,148,154
1,G6_1,P10_1,S28_1,155,159
1,G6_1,P10_1,S29_1,160,167
1,G6_1,P10_1,S3_1,168,175
1,G6_1,P10_1,S30_1,176,183
1,G6_1,P10_1,S31_1,184,191
1,G6_1,P10_1,S32_1,192,199
1,G6_1,P10_1,S33_1,200,205
1,G6_1,P10_1,S34_1,206,211
1,G6_1,P10_1,S35_1,212,218
1,G6_1,P10_1,S36_1,219,226
1,G6_1,P10_1,S37_1,227,232
1,G6_1,P10_1,S38_1,233,240
1,G6_1,P10_1,S39_1,241,248
1,G6_1,P10_1,S4_1,249,256
1,G6_1,P10_1,S40_1,257,264
1,G6_1,P10_1,S41_1,265,272
1,G6_1,P10_1,S42_1,273,280
1,G6_1,P10_1,S43_1,281,287
1,G6_1,P10_1,S44_1,288,290
1,G6_1,P10_1,S45_1,291,298
1,G6_1,P10_1,S46_1,299,305
1,G6_1,P10_1,S47_1,306,313
1,G6_1,P10_1,S48_1,314,321
1,G6_1,P10_1,S5_1,322,329
1,G6_1,P10_1,S6_1,330,337
1,G6_1,P10_1,S7_1,338,345
1,G6_1,P10_1,S8_1,346,353
1,G6_1,P10_1,S9_1,354,361
2,G6_2,P10_2,S1_2,0,7
2,G6_2,P10_2,S10_2,8,15
2,G6_2,P10_2,S11_2,16,23
2,G6_2,P10_2,S12_2,24,31
2,G6_2,P10_2,S13_2,32,39
2,G6_2,P10_2,S14_2,40,47
2,G6_2,P10_2,S15_2,48,55
2,G6_2,P10_2,S16_2,56,63
2,G6_2,P10_2,S17_2,64,71
2,G6_2,P10_2,S18_2,72,79
2,G6_2,P10_2,S19_2,80,87
2,G6_2,P10_2,S2_2,88,94
2,G6_2,P10_2,S20_2,95,101
2,G6_2,P10_2,S21_2,102,108
