time,user,collection_id,instance_index,cpus,ram,collection_type
600001531,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13121,0.0097198486328125,0.0017528533935546875,0
600001547,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13122,0.0097198486328125,0.0017528533935546875,0
600134126,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13123,0.0097198486328125,0.0017528533935546875,0
600296128,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13124,0.0097198486328125,0.0017528533935546875,0
600315741,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13125,0.0097198486328125,0.0017528533935546875,0
600338974,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,4960,0.0097198486328125,0.0017528533935546875,0
600391973,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13126,0.0097198486328125,0.0017528533935546875,0
600421894,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80710,0.00566864013671875,0.00262451171875,0
600421909,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444572238,3019,0.01214599609375,0.0078125,0
600421923,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444449777,2680,0.0081024169921875,0.002605438232421875,0
600421935,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80997,0.00566864013671875,0.00262451171875,0
600421948,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80934,0.00566864013671875,0.00262451171875,0
600421961,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80935,0.00566864013671875,0.00262451171875,0
600421984,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444449777,2677,0.0081024169921875,0.002605438232421875,0
600421997,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80402,0.00566864013671875,0.00262451171875,0
600422011,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80281,0.00566864013671875,0.00262451171875,0
600422024,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80840,0.00566864013671875,0.00262451171875,0
600422037,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205622561,19429,0.00566864013671875,0.00262451171875,0
600422051,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80788,0.00566864013671875,0.00262451171875,0
600422073,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80648,0.00566864013671875,0.00262451171875,0
600499352,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13128,0.0097198486328125,0.0017528533935546875,0
600499356,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13127,0.0097198486328125,0.0017528533935546875,0
600628961,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13129,0.0097198486328125,0.0017528533935546875,0
600651024,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13130,0.0097198486328125,0.0017528533935546875,0
600704483,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205622561,19604,0.00566864013671875,0.00262451171875,0
600704501,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80255,0.00566864013671875,0.00262451171875,0
600704515,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,17432,0.00566864013671875,0.00262451171875,0
600704533,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80562,0.00566864013671875,0.00262451171875,0
600704549,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205615206,17,0.0242919921875,0.00650787353515625,0
600704562,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,1601,0.0097198486328125,0.0017528533935546875,0
600704589,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444494649,91,0.0081024169921875,0.00234222412109375,0
600777670,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13138,0.0097198486328125,0.0017528533935546875,0
600777680,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13134,0.0097198486328125,0.0017528533935546875,0
600777687,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13137,0.0097198486328125,0.0017528533935546875,0
600777693,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13135,0.0097198486328125,0.0017528533935546875,0
600777720,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13136,0.0097198486328125,0.0017528533935546875,0
600799310,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,80276,0.00566864013671875,0.00262451171875,0
600799325,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444479605,27082,0.00566864013671875,0.00262451171875,0
600799341,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444470689,12230,0.016204833984375,0.002605438232421875,0
600799356,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,275444483715,3296,0.0081024169921875,0.00182342529296875,0
600829660,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13139,0.0097198486328125,0.0017528533935546875,0
600883194,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13140,0.0097198486328125,0.0017528533935546875,0
600917646,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13141,0.0097198486328125,0.0017528533935546875,0
600917662,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13142,0.0097198486328125,0.0017528533935546875,0
600977812,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,276205613768,13143,0.0097198486328125,0.0017528533935546875,0
